mpg,cylinders,cubicinches,hp,weightlbs,time-to-60,year
14.0,8,350,165,4209,12,1972
31.9,4,89,71,1925,14,1980
17.0,8,302,140,3449,11,1971
15.0,8,400,150,3761,10,1971
30.5,4,98,63,2051,17,1978
23.0,8,350,125,3900,17,1980
13.0,8,351,158,4363,13,1974
14.0,8,440,215,4312,9,1971
25.4,5,183,77,3530,20,1980
37.7,4,89,62,2050,17,1982
34.0,4,108,70,2245,17,1983
34.3,4,97,78,2188,16,1981
16.0,8,302,140,4141,14,1975
11.0,8,350,180,3664,11,1974
16.9,8,350,155,4360,15,1980
31.8,4,85,65,2020,19,1980
16.0,8,304,150,3433,12,1971
24.0,4,113,95,2278,16,1973
24.0,4,107,90,2430,15,1971
37.2,4,86,65,2019,16,1981
21.5,4,121,110,2600,13,1978
24.0,6,200,81,3012,18,1977
15.5,8,351,142,4054,14,1980
38.1,4,89,60,1968,19,1981
33.0,4,91,53,1795,17,1977
31.0,4,71,65,1773,19,1972
14.0,8,351,148,4657,14,1976
18.0,6,250,78,3574,21,1977
29.9,4,98,65,2380,21,1982
27.0,4,97,88,2130,15,1971
16.0,6,250,100,3278,18,1974
23.0,4,120,97,2506,15,1973
30.0,4,97,67,1985,16,1978
22.4,6,231,110,3415,16,1982
26.0,4,97,46,1835,21,1971
21.5,3,80,110,2720,14,1978
16.5,8,351,138,3955,13,1980
20.2,6,232,90,3265,18,1980
14.0,8,302,140,4638,16,1975
18.5,6,250,110,3645,16,1977
17.5,6,250,110,3520,16,1978
14.0,8,455,225,3086,10,1971
31.6,4,120,74,2635,18,1982
13.0,8,318,150,3755,14,1977
22.0,4,122,86,2395,16,1973
29.0,4,97,78,1940,15,1978
20.2,6,200,88,3060,17,1982
13.0,8,400,150,4464,12,1974
27.2,4,141,71,3190,25,1980
14.0,8,340,160,3609,8,1971
24.0,4,116,75,2158,16,1974
16.5,8,350,180,4380,12,1977
16.0,8,400,230,4278,10,1974
19.0,6,156,108,2930,16,1977
33.5,4,98,83,2075,16,1978
29.0,4,90,70,1937,14,1977
13.0,8,360,175,3821,11,1974
18.0,6,232,100,2945,16,1974
22.0,4,108,94,2379,17,1974
32.7,6,168,132,2910,11,1981
46.6,4,86,65,2110,18,1981
14.0,8,318,150,4237,15,1974
18.5,6,250,98,3525,19,1978
26.0,4,97,46,1950,21,1974
32.0,4,91,67,1965,16,1983
29.5,4,97,71,1825,12,1977
17.5,8,305,145,3880,13,1978
20.0,6,198,95,3102,17,1975
27.0,4,112,88,2640,19,1983
28.0,4,97,92,2288,17,1973
24.0,4,119,97,2545,17,1976
29.0,4,98,83,2219,17,1975
38.0,6,262,85,3015,17,1983
22.5,6,232,90,3085,18,1977
21.1,4,134,95,2515,15,1979
26.0,4,98,90,2265,16,1974
32.4,4,108,75,2350,17,1982
15.5,8,400,190,4325,12,1978
12.0,8,429,198,4952,12,1974
19.2,8,305,145,3425,13,1979
23.0,4,115,95,2694,15,1976
25.0,4,116,81,2220,17,1977
35.0,4,72,69,1613,18,1972
18.0,6,199,97,2774,16,1971
17.6,6,225,85,3465,17,1982
28.0,4,90,75,2125,15,1975
31.0,4,119,82,2720,19,1983
34.1,4,86,65,1975,15,1980
27.2,4,119,97,2300,15,1979
13.0,8,350,175,4100,13,1974
17.0,6,250,100,3329,16,1972
26.0,4,98,79,2255,18,1977
17.0,6,231,110,3907,21,1976
12.0,8,350,180,4499,13,1974
18.0,6,250,88,3139,15,1972
18.2,8,318,135,3830,15,1980
16.0,6,250,100,3781,17,1975
11.0,8,400,150,4997,14,1974
12.0,8,400,167,4906,13,1974
25.0,4,98,80,2126,17,1973
34.2,4,105,70,2200,13,1980
32.2,4,108,75,2265,15,1981
26.6,4,151,84,2635,16,1982
43.4,4,90,48,2335,24,1981
30.0,4,88,76,2065,15,1972
25.0,4,121,115,2671,14,1976
18.0,8,307,130,3504,12,1971
20.0,4,97,88,2279,19,1974
18.0,4,121,112,2933,15,1973
16.0,8,351,149,4335,15,1978
33.0,4,91,53,1795,18,1976
37.3,4,91,69,2130,15,1980
18.0,6,225,95,3785,19,1976
24.5,4,151,88,2740,16,1978
21.0,6,231,110,3039,15,1976
34.4,4,98,65,2045,16,1982
15.0,8,429,198,4341,10,1971
27.0,4,101,83,2202,15,1977
26.0,4,79,67,1963,16,1975
16.0,8,400,170,4668,12,1976
23.2,4,156,105,2745,17,1979
27.0,4,97,60,1834,19,1972
26.5,4,140,72,2565,14,1977
13.0,8,360,170,4654,13,1974
30.9,4,105,75,2230,15,1979
20.0,4,114,91,2582,14,1974
36.1,4,98,66,1800,14,1979
26.0,4,97,78,2300,15,1975
28.0,4,151,90,2678,17,1981
12.0,8,455,225,4951,11,1974
17.0,8,304,150,3672,12,1973
15.0,8,350,145,4440,14,1976
16.0,8,318,150,4190,13,1977
26.0,4,91,70,1955,21,1972
13.0,8,302,129,3169,12,1976
22.0,4,121,98,2945,15,1976
21.0,4,120,87,2979,20,1973
26.8,6,173,115,2700,13,1980
29.0,4,97,75,2171,16,1976
32.0,4,144,96,2665,14,1983
35.1,4,81,60,1760,16,1982
19.2,8,267,125,3605,15,1980
23.0,4,120,88,2957,17,1976
20.6,6,225,110,3360,17,1980
27.0,4,151,90,2735,18,1983
15.0,8,350,165,3693,12,1971
18.1,8,302,139,3205,11,1979
31.3,4,120,75,2542,18,1981
27.5,4,134,95,2560,14,1979
14.0,8,455,225,4425,10,1971
15.0,6,250,72,3158,20,1976
28.0,4,107,86,2464,16,1977
19.0,6,250,88,3302,16,1972
18.0,3,70,90,2124,14,1974
29.5,4,98,68,2135,17,1979
19.0,6,232,100,2634,13,1972
16.2,6,163,133,3410,16,1979
24.3,4,151,90,3003,20,1981
17.5,8,318,140,4080,14,1979
18.0,6,171,97,2984,15,1976
23.0,6,198,95,2904,16,1974
23.0,4,97,54,2254,24,1973
19.9,8,260,110,3365,16,1979
16.0,6,225,105,3439,16,1972
26.0,4,156,92,2585,15,1983
20.0,6,156,122,2807,14,1974
38.0,4,105,63,2125,15,1983
32.4,4,107,72,2290,17,1981
20.3,5,131,103,2830,16,1979
31.0,4,112,85,2575,16,1983
21.0,4,122,86,2226,17,1973
26.0,4,96,69,2189,18,1973
14.0,8,400,175,4385,12,1973
14.0,8,304,150,3672,12,1974
20.2,8,302,139,3570,13,1979
31.5,4,98,68,2045,19,1978
33.8,4,97,67,2145,18,1981
17.5,8,305,140,4215,13,1977
18.0,8,318,150,3436,11,1971
34.0,4,112,88,2395,18,1983
20.8,6,200,85,3070,17,1979
18.0,6,250,105,3459,16,1976
13.0,8,318,150,3940,13,1977
14.0,8,351,153,4129,13,1973
13.0,8,440,215,4735,11,1974
25.8,4,156,92,2620,14,1982
28.4,4,151,90,2670,16,1980
13.0,8,400,190,4422,13,1973
15.0,8,350,145,4082,13,1974
14.0,8,318,150,4077,14,1973
41.5,4,98,76,2144,15,1981
27.2,4,135,84,2490,16,1982
43.1,4,90,48,1985,22,1979
29.0,4,90,70,1937,14,1976
33.5,4,85,70,1945,17,1978
26.0,4,116,75,2246,14,1975
23.0,4,140,83,2639,17,1976
23.9,8,260,90,3420,22,1980
19.0,6,225,100,3630,18,1978
21.0,4,140,72,2401,20,1974
15.0,8,390,190,3850,9,1971
40.8,4,85,65,2110,19,1981
18.0,6,250,88,3021,17,1974
13.0,8,307,130,4098,14,1973
25.4,6,168,116,2900,13,1982
22.0,6,146,97,2815,15,1978
17.7,6,231,165,3445,13,1979
39.1,4,79,58,1755,17,1982
30.0,4,79,70,2074,20,1972
22.0,6,225,100,3233,15,1977
32.9,4,119,100,2615,15,1982
37.0,4,85,65,1975,19,1982
14.5,8,351,152,4215,13,1977
28.8,6,173,115,2595,11,1980
15.0,8,302,130,4295,15,1978
17.5,6,258,95,3193,18,1977
21.6,4,121,115,2795,16,1979
14.0,8,318,150,4457,14,1975
16.5,6,168,120,3820,17,1977
14.0,8,302,137,4042,15,1974
32.0,4,83,61,2003,19,1975
10.0,8,360,215,4615,14,1971
31.0,4,76,52,1649,17,1975
21.0,6,200,85,2587,16,1971
27.0,4,140,86,2790,16,1983
15.0,8,383,170,3563,10,1971
28.0,4,120,79,2625,19,1983
23.0,4,140,78,2592,19,1976
16.0,8,318,150,4498,15,1976
20.0,4,130,102,3150,16,1977
44.0,4,97,52,2130,25,1983
14.0,8,318,150,4096,13,1972
20.2,6,200,85,2965,16,1979
39.0,4,86,64,1875,16,1982
23.0,4,122,86,2220,14,1972
13.0,8,350,145,4055,12,1977
18.0,6,225,105,3121,17,1974
16.0,8,400,180,4220,11,1978
25.0,4,110,87,2672,18,1971
14.0,8,454,220,4354,9,1971
15.0,8,318,150,3399,11,1974
19.4,8,318,140,3735,13,1979
44.3,4,90,48,2085,22,1981
28.0,4,97,75,2155,16,1977
29.0,4,135,84,2525,16,1983
32.1,4,98,70,2120,16,1981
24.0,4,121,110,2660,14,1974
36.4,5,121,67,2950,20,1981
13.0,8,350,145,3988,13,1974
23.5,6,173,110,2725,13,1982
24.0,4,113,95,2372,15,1971
17.0,8,305,130,3840,15,1980
36.1,4,91,60,1800,16,1979
22.0,6,232,112,2835,15,1983
18.0,6,232,100,3288,16,1972
22.0,6,250,105,3353,15,1977
